ProductId,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Currency,Direct linking commission rate (%),Estimated direct linking commission,Indirect linking commission rate (%),Estimated indirect linking commission,Sales180Day,Positive Feedback,Promotion Url,Code Name,Code Start Time,Code End Time,Code Value,Code Quantity,Code Minimum Spend
1005008639624489,https://ae-pic-a1.aliexpress-media.com/kf/S60ea8c53adae49c5aa7fcbce79672ff3l.jpg,,"3pcs Stainless Steel Eggshell Separator - Quick Peel & Yolk Splitter, Durable Kitchen Baking Essential with Easy-Grip",USD 4.14,USD 2.07,50%,USD,7.0,USD 0.14,7.0,USD 0.14,24883,77.4%,https://s.click.aliexpress.com/e/_c3mQoQK9,,,,,,
1005006678208098,https://ae-pic-a1.aliexpress-media.com/kf/S78dfabb1bf044ef48392d1a37aab8a19o.jpg,,TWS Wireless Bluetooth Headset LED Display Gamer Earbuds with Mic Wireless Headphones Noise Cancelling Bluetooth Earphones X15,USD 7.57,USD 3.79,50%,USD,7.0,USD 0.27,7.0,USD 0.27,13196,98.0%,https://s.click.aliexpress.com/e/_c3fN7EVL,,,,,,
1005011734518720,https://ae-pic-a1.aliexpress-media.com/kf/S52d04f4bd26e4c43832b03ab48ff5bc11.jpg,,New 3.5MM Jack USB Computer Microphone Hi-fi For High Fidelity Video Conference Speech Vlog Noise Cancelling Mic Professiona,USD 11.31,USD 5.54,51%,USD,7.0,USD 0.39,7.0,USD 0.39,16,100.0%,https://s.click.aliexpress.com/e/_c3gUaR9R,,,,,,
1005010792076078,https://ae-pic-a1.aliexpress-media.com/kf/S5591b8c350d5411e92f0ac1a3c7cf090l.jpg,,Stainless Steel Car Cup New 40oz Large Capacity Water Cup with Handle and Straw Double-walled Insulated Travel Mug Holiday Gifts,USD 72.50,USD 36.25,49%,USD,7.0,USD 2.54,7.0,USD 2.54,62,77.1%,https://s.click.aliexpress.com/e/_c2Q0xUjR,,,,,,
1005007018052502,https://ae-pic-a1.aliexpress-media.com/kf/Sec2d1a6942ee426b88917540af927ac0r.jpg,,1pc Vacuum Tumbler with Lid Stainless Steel Portable Water Bottle with Dazzling Handle Insulated Tumbler Tote Handle 20/30OZ,USD 26.13,USD 9.45,63%,USD,7.0,USD 0.66,7.0,USD 0.66,1271,90.9%,https://s.click.aliexpress.com/e/_c3m5BJHB,,,,,,
1005006253885783,https://ae-pic-a1.aliexpress-media.com/kf/S01a919ba0914465d8af01ee108ce1b90b.jpg,,Meat Ball Maker Tool Stainless Steel Clip Round Rice Ball Shaper Spoon Meatball Making Mold Non Stick Stuffed Kitchen Gadget,USD 7.43,USD 2.60,65%,USD,7.0,USD 0.18,7.0,USD 0.18,10273,87.7%,https://s.click.aliexpress.com/e/_c3eVywK9,,,,,,
1005008046378092,https://ae-pic-a1.aliexpress-media.com/kf/S802155e7fc8a41ebb83fe342b491cff2G.jpg,,NEW X15 TWS Earphones Bluetooth Wireless Gamer Headphones 65ms Low Latency Earbuds Fone Gamer Headset Gamer with Mic,USD 4.47,USD 4.47,0%,USD,7.0,USD 0.31,7.0,USD 0.31,1047,90.0%,https://s.click.aliexpress.com/e/_c30yxXxb,,,,,,
1005007885236671,https://ae-pic-a1.aliexpress-media.com/kf/S8bc78594d61f41f68bb9fd7f9669ff1e7.jpg,,New Original T75 Bone Conduction Wireless Bluetooth 5.3 Headphones Sports Earphones HiFi Sound Quality Waterproof TWS Headset,USD 8.60,USD 3.87,55%,USD,7.0,USD 0.27,7.0,USD 0.27,32118,74.9%,https://s.click.aliexpress.com/e/_c32nwgSH,,,,,,
1005008520099287,https://ae-pic-a1.aliexpress-media.com/kf/S44d219e6036c4bfaacb8174cfce53bacH.jpg,,Magic Emery Sponge Brush Wipe Eraser Cleaner Kitchen Bath Rust Strong Decontamination Cleaning Tools With Handle Household Tools,USD 5.43,USD 2.66,51%,USD,7.0,USD 0.19,7.0,USD 0.19,87851,90.8%,https://s.click.aliexpress.com/e/_c42lyBbF,,,,,,
1005010289545180,https://ae-pic-a1.aliexpress-media.com/kf/S412fbf26e9cd476ba2b9d6d8689a7edaQ.jpg,,Q86 Bluetooth 5.3 Wireless Headphones Power LED Digital Display 24hours Endurance HiFi Gaming Headsets Waterproof Sports Earbuds,USD 8.03,USD 3.40,57%,USD,7.0,USD 0.24,7.0,USD 0.24,6018,90.0%,https://s.click.aliexpress.com/e/_c3aD9pfb,,,,,,
1005008283766732,https://ae-pic-a1.aliexpress-media.com/kf/S7861214328ee434180e7fd8eee486eaf0.jpg,,"New Automatic Buckle Belt, Canvas Tactical Workwear Casual Outdoor Military Training Pants Belt For Men",USD 9.53,USD 2.58,73%,USD,7.0,USD 0.18,7.0,USD 0.18,106662,88.6%,https://s.click.aliexpress.com/e/_c4T6e0Oz,,,,,,
1005007802183944,https://ae-pic-a1.aliexpress-media.com/kf/Sc32b5f70dddf4537b6a957e0ea50dfd8K.png,,USB4.0 40Gbps OTG type C 90 degree Adapter 100W 5A USB C to Type C Fast Charging Converter USB C Data Adapter For Macbook 8K60HZ,USD 5.69,USD 1.82,68%,USD,9.0,USD 0.16,9.0,USD 0.16,27721,97.4%,https://s.click.aliexpress.com/e/_c3FDL63J,,,,,,
1005005792377152,https://ae-pic-a1.aliexpress-media.com/kf/S35a9fadc51144a3fa85da28a205eee09t.jpg,,"4pcs/8pcs Detachable Zipper Pull, Multi Color Replacement Zipper Accs For Jeans & Backpack, Sewing Tools",USD 3.26,USD 1.60,51%,USD,7.0,USD 0.11,7.0,USD 0.11,73011,84.3%,https://s.click.aliexpress.com/e/_c3Lbt8AH,,,,,,
1005009793427236,https://ae-pic-a1.aliexpress-media.com/kf/S2f99a9da02654896bb4ecf0312f6b853K.jpg,,"1-pack thick bath towel, strong water absorption and quick drying, non shedding, durable - very suitable for families, beaches,",USD 10.10,USD 5.05,50%,USD,7.0,USD 0.35,7.0,USD 0.35,40306,92.6%,https://s.click.aliexpress.com/e/_c4OLHy1L,,,,,,
1005006959498054,https://ae-pic-a1.aliexpress-media.com/kf/S55a7393e146a455c8e2d2f1d2821b87f2.jpg,,Laptop Bag For Xiaomi Lenovo Dell Notebook Computer Laptop Sleeve For Macbook Air Pro Retina 13 14 15 15.6 Inch Laptops Case,USD 8.26,USD 3.96,52%,USD,7.0,USD 0.28,7.0,USD 0.28,37745,92.6%,https://s.click.aliexpress.com/e/_c3zd1jeZ,,,,,,
1005007166567356,https://ae-pic-a1.aliexpress-media.com/kf/Sde610cc8e04c4d12a35a01feedb1f6ed1.jpg,,SEAMETAL Car Front Windshield Defogging Brush Telescopic Long handle Car Household Glass Clean Brushes Dust Remover Tool,USD 12.78,USD 4.09,68%,USD,7.0,USD 0.29,7.0,USD 0.29,37092,94.7%,https://s.click.aliexpress.com/e/_c4r9bLpf,,,,,,
1005007365669652,https://ae-pic-a1.aliexpress-media.com/kf/S100d49f0b3434c25b4e4cd4a7b387462p.jpg,,Damaged Screw Extractor Set HSS Drill Bit Stripped Broken Remover Small Easily Quickly Take Out Kit Easy Demolition Power Tools,USD 9.16,USD 3.11,66%,USD,7.0,USD 0.22,7.0,USD 0.22,48908,92.5%,https://s.click.aliexpress.com/e/_c4V2IltR,,,,,,
1005005856471552,https://ae-pic-a1.aliexpress-media.com/kf/H4f7868d0386b4a209c42f754775f4543s.jpg,,Electric Muscle Stimulator EMS Wireless Buttocks Hip Trainer Abdominal ABS Stimulator Fitness Body Slimming Massager,USD 11.81,USD 3.84,67%,USD,7.0,USD 0.27,7.0,USD 0.27,18936,83.4%,https://s.click.aliexpress.com/e/_c399x26d,,,,,,
1005005385299054,https://ae-pic-a1.aliexpress-media.com/kf/Sdeb87d1656cc46418a5ee5924678d91bO.jpg,,Auto Fastener Clip Mixed Car Body Push Retainer Pin Rivet Bumper Door Trim Panel Fastener Kit Car Clip 100/50 Box /Bag packaging,USD 4.36,USD 2.35,46%,USD,9.0,USD 0.21,9.0,USD 0.21,68522,95.5%,https://s.click.aliexpress.com/e/_c4kgI5tP,,,,,,
1005006893741431,https://ae-pic-a1.aliexpress-media.com/kf/S28b83d2d51034f0d8ace0f25a5e7bdd96.jpg,,Car Window Cleaner Brush Kit Windshield Cleaning Wash Tool Inside Interior Auto Glass Wiper with Long Handle Car Accessories,USD 7.03,USD 2.39,66%,USD,7.0,USD 0.17,7.0,USD 0.17,66399,88.4%,https://s.click.aliexpress.com/e/_c4euuhvR,,,,,,
1005008188215073,https://ae-pic-a1.aliexpress-media.com/kf/S49184593ee344dbaa4923bcdc6c7ab85i.jpg,,Microfiber Keyboard Dust Cover for MacBook Pro 15-16 inch Air 15 Dustproof Protective Cloth Ultra Thin Waterproof Keyboard Prote,USD 4.10,USD 1.93,53%,USD,7.0,USD 0.14,7.0,USD 0.14,36996,95.3%,https://s.click.aliexpress.com/e/_c4EAslCl,,,,,,
1005009503088961,https://ae-pic-a1.aliexpress-media.com/kf/S614e01789c084a98938be8aa3746e170z.jpg,,Velvet Liquid Blush Matte Sponge Head Blusher Natural Lasting Brighten facial Contour Blush Tint Makeup,USD 6.95,USD 3.48,50%,USD,7.0,USD 0.24,7.0,USD 0.24,11812,91.1%,https://s.click.aliexpress.com/e/_c320Fh0V,,,,,,
1005006677891105,https://ae-pic-a1.aliexpress-media.com/kf/S6ae3bbd4ceb14c5081ea2574f7968a68i.jpg,,1/2/3pcs Mirror Marker Pen DIY Reflective Paint Pens Mirror Markers Chrome Gold SILVER Copper Color Signature Car Art Craftwork,USD 3.49,USD 1.92,45%,USD,7.0,USD 0.13,7.0,USD 0.13,22482,93.9%,https://s.click.aliexpress.com/e/_c2wOOTZX,,,,,,
1005006490761287,https://ae-pic-a1.aliexpress-media.com/kf/Se8c407a81b78414a9af5c93ae6aaab13M.jpg,,High Pressure Continuous Spray Bottle Hair Care Makeup Water Replenishing Spray Bottle Separate Bottle Press Mist Spray Bottle,USD 8.37,USD 2.68,68%,USD,7.0,USD 0.19,7.0,USD 0.19,31761,91.4%,https://s.click.aliexpress.com/e/_c3LGkxhB,,,,,,
1005005921446741,https://ae-pic-a1.aliexpress-media.com/kf/See10656594ec4fcab2fec8fd929b2cf0o.jpg,,1PC PP Desktop Double Layer Storage Rack Rectangular White Organizing Student Desk Office Cosmetics Stationery,USD 12.42,USD 4.44,64%,USD,7.0,USD 0.31,7.0,USD 0.31,15646,90.0%,https://s.click.aliexpress.com/e/_c3YbKHjb,,,,,,
